No,Site ID,Site Name,Full Name,Standard Code,MCMC Ref ID,TP Ref ID,TP,DUSP
1.,951,Air Putih,NADI Air Putih,P15N021,PEDi_0958,P58P,SAMUDRA,Maxis
2.,952,Kebun Bunga,NADI Kebun Bunga,P15N022,PEDi_0959,P59P,SAMUDRA,Maxis
3.,953,Pulau Tikus,NADI Pulau Tikus,P15N023,PEDi_0960,P60P,SAMUDRA,Maxis
4.,954,Tanjong Bunga,NADI Tanjong Bunga,P15N024,PEDi_0961,P61P,SAMUDRA,Maxis
5.,955,Komtar,NADI Komtar,P15N025,PEDi_0962,P62P,SAMUDRA,Maxis
6.,956,Padang Kota,NADI Padang Kota,P15N026,PEDi_0963,P63P,SAMUDRA,Maxis
7.,957,Pengkalan Kota,NADI Pengkalan Kota,P15N027,PEDi_0964,P64P,SAMUDRA,Maxis
8.,958,Batu Lancang,NADI Batu Lancang,P15N028,PEDi_0965,P65P,SAMUDRA,Maxis
9.,959,Datok Keramat,NADI Datok Keramat,P15N029,PEDi_0966,P66P,SAMUDRA,Maxis
10.,960,Sungai Pinang,NADI Sungai Pinang,P15N030,PEDi_0967,P67P,SAMUDRA,Maxis
11.,961,Air Itam,NADI Air Itam,P15N031,PEDi_0968,P68P,SAMUDRA,Maxis
12.,962,Paya Terubong,NADI Paya Terubong,P15N032,PEDi_0969,P69P,SAMUDRA,Maxis
13.,963,Seri Delima,NADI Seri Delima,P15N033,PEDi_0970,P70P,SAMUDRA,Maxis
14.,964,Batu Uban,NADI Batu Uban,P15N034,PEDi_0971,P71P,SAMUDRA,Maxis
15.,965,Batu Maung,NADI Batu Maung,P15N035,PEDi_0972,P72P,SAMUDRA,Maxis
16.,966,Pantai Jerejak,NADI Pantai Jerejak,P15N036,PEDi_0973,P73P,SAMUDRA,Maxis
17.,967,Bayan Lepas,NADI Bayan Lepas,P15N037,PEDi_0974,P74P,SAMUDRA,Maxis
18.,968,Pulau Betong,NADI Pulau Betong,P15N038,PEDi_0975,P75P,SAMUDRA,Maxis
